,P20865_126_S107_L004,P20865_122_S103_L004,P20865_114_S95_L004,P20865_113_S94_L004,P20865_105_S86_L004,P20865_102_S83_L004,P20865_120_S101_L004,P20865_135_S116_L004,P20865_139_S120_L004,P20865_131_S112_L004,P20865_112_S93_L004,P20865_134_S115_L004,P20865_144_S125_L004,P20865_111_S92_L004,P20865_171_S152_L004,P20865_141_S122_L004,P20865_130_S111_L004,P20865_151_S132_L004,P20865_153_S134_L004,P20865_132_S113_L004,P20865_110_S91_L004,P20865_115_S96_L004,P20865_125_S106_L004,P20865_109_S90_L004,P20865_160_S141_L004,P20865_155_S136_L004,P20865_107_S88_L004,P20865_161_S142_L004,P20865_129_S110_L004,P20865_119_S100_L004,P20865_168_S149_L004,P20865_158_S139_L004,P20865_149_S130_L004,P20865_121_S102_L004,P20865_127_S108_L004,P20865_146_S127_L004,P20865_166_S147_L004,P20865_123_S104_L004,P20865_170_S151_L004,P20865_169_S150_L004,P20865_142_S123_L004,P20865_162_S143_L004,P20865_133_S114_L004,P20865_163_S144_L004,P20865_145_S126_L004,P20865_165_S146_L004,P20865_154_S135_L004,P20865_101_S82_L004,P20865_103_S84_L004,P20865_108_S89_L004,P20865_143_S124_L004,P20865_136_S117_L004,P20865_150_S131_L004,P20865_128_S109_L004,P20865_152_S133_L004,P20865_106_S87_L004,P20865_164_S145_L004,P20865_138_S119_L004,P20865_159_S140_L004,P20865_156_S137_L004,P20865_157_S138_L004,P20865_147_S128_L004,P20865_137_S118_L004,P20865_104_S85_L004,P20865_116_S97_L004,P20865_140_S121_L004,P20865_118_S99_L004,P20865_124_S105_L004,P20865_117_S98_L004,P20865_167_S148_L004,P20865_148_S129_L004
msp_0444,0,0,1.14656345179155e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
msp_0445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64744035061947e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46714639767177e-08,0,0,0,0,0,1.49351767541115e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
msp_0446c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.94514888677495e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
msp_0447,0,2.35539122637259e-07,0,0,0,0,0,0,0,0,0,0,0,0,2.20053513012033e-08,0,0,1.70148990365262e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,4.17378852788005e-07,0,8.29030084639892e-07,0,1.71089938434491e-07,0,5.93804878538643e-08,2.40181650479002e-07,1.23357968946264e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.79861568217811e-07,0,0,0,1.60083227907608e-06,6.74342601746869e-07,0,1.24211880362361e-06,0,0,0,0,0,0,0,0,0
msp_0448,0,1.07956008767599e-08,1.48199199681278e-08,0,0,0,8.9492859639965e-09,0,0,1.42376517126897e-07,0,0,0,0,0,0,3.61007044692243e-08,0,0,7.21372988263455e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,1.10054474305119e-07,0,0,0,9.79873576819474e-09,0,0,0,1.35306171618639e-08,0,1.05907450960522e-08,0,0,0,0,0,0,0,0,0,0,1.9598882298327e-09,0,0,0,0,9.89319862625878e-09,0,0,3.09244512064281e-08,0,7.86966053578747e-08,2.9960648548481e-08,0,0,2.7693309655512e-08,0,0
msp_0449,0,3.24596236149237e-07,0,0,0,0,0,0,0,1.54128301653523e-07,0,0,0,0,1.73927912610626e-08,0,8.42274333085021e-08,0,0,4.04147025638728e-07,0,0,0,0,1.21921141314335e-07,0,0,0,0,7.91916402229303e-09,0,1.30706777450408e-08,0,7.43363834050844e-08,0,9.27174482415594e-09,0,3.99102609578717e-07,1.00921353172002e-08,2.64996424008092e-08,0,9.90372307375987e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.37926691636434e-07,0,8.72989985949453e-09,0,0,0,0,0
msp_0450,0,0,0,0,0,0,0,0,0,8.97733586020386e-08,0,0,0,0,0,0,5.5899799923615e-08,3.20602082292502e-07,0,9.64532634700109e-08,0,0,0,0,2.08009193777517e-07,0,0,0,0,0,0,0,0,0,0,1.80236305480406e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01803059403846e-06,0,0,0,0,0,0,1.52217275087568e-07,0,0,0,0,0,0,0,0,0
msp_0452,0,3.27411576823814e-07,0,0,0,0,1.48419449277213e-07,0,0,0,0,0,0,0,4.73780029844579e-08,0,0,3.6525592998931e-07,0,0,0,0,0,0,5.77633019684492e-08,0,0,0,0,0,0,5.43300486646241e-06,0,0,0,1.92181212473369e-07,0,1.06582882519527e-06,2.35189261025014e-06,2.00262084178034e-06,0,0,0,0,0,0,0,0,1.9770144028981e-06,0,0,0,0,0,1.29512054301538e-06,0,0,1.47836965427783e-06,7.76902186588724e-07,1.25948822763031e-06,0,2.9077656719179e-06,0,0,0,0,0,0,0,0,0
msp_0453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.20286024987129e-07,0,0,0,0,0,0,0,0,0,0,0
msp_0454,0,4.6178314060372e-07,0,0,0,0,0,0,0,0,0,0,0,1.18131667431254e-08,0,0,0,0,0,0,0,0,0,0,1.69038922020938e-06,0,0,0,0,2.78100821518989e-07,0,3.94547545802727e-08,0,0,0,0,0,1.85794230075623e-07,0,5.65354763944821e-08,0,0,0,0,0,8.8082324906144e-09,0,5.61160937809344e-08,0,0,0,0,0,0,0,0,0,0,0,0,2.44495041608364e-08,0,0,0,0,0,0,0,0,0,0
msp_0455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0584334390671e-07,0,0,0,0,0,0,0,0,0,0,0,0,9.89689069705319e-09,0,0,0,0,0,5.35589095767096e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
msp_0456,0,3.85916644888376e-07,3.02053677868971e-07,0,0,0,4.37937138247703e-07,0,0,0,1.29666077560116e-07,0,0,0,1.30037620792618e-07,3.30168244881855e-07,8.57976421263766e-08,0,0,0,0,0,5.05186434103784e-07,0,1.30978926994093e-07,1.19725239477815e-07,0,1.15313525611409e-07,3.74106477196323e-07,3.40328169989295e-07,7.30132043839482e-07,3.45676915627023e-07,0,2.3542326278594e-07,0,3.15951283267676e-07,0,7.84949585932646e-07,9.05006084879119e-08,1.23338513772418e-07,1.98021971678533e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,2.19536401850932e-07,0,0,8.29951161648617e-07,0,1.03811909795558e-07,0,2.67845960088138e-07,5.69209171707678e-08,1.94704979695247e-07,4.22432300439022e-07,0,0,0,0,0,5.49968444791174e-08
msp_0457,1.35994674367043e-06,3.92453543435592e-07,1.0319974778159e-06,0,0,0,4.7859358241982e-07,0,0,0,0,0,0,0,7.68836192891671e-07,6.86090725034095e-07,0,0,0,0,0,0,0,0,4.94036222347681e-07,7.45337515230881e-07,0,0,1.99306247567159e-06,4.43694695421268e-08,0,1.23395090578563e-07,0,3.96241042890816e-07,6.47307522129802e-07,4.41536170439526e-07,0,5.45788881296503e-07,1.97353877123215e-07,2.81490836459025e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.76875051160101e-07,0,0,1.0530119650215e-06,0,5.07940840740664e-08,0,1.08572356254184e-06,0,6.62143581477342e-07,0,0,0,0,0,0,1.05367131773699e-07
msp_0458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.98303760940262e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
msp_0459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.77413878015852e-08,0,0,0,0,0,0,0,0,0,0,0
msp_0460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.17577458393404e-07,0,0,0,0,0,0,7.48081481395259e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
msp_0461,0,2.59065185070895e-07,0,0,0,0,0,0,0,0,0,0,0,0,4.40988644398912e-07,0,0,3.21173280697723e-07,0,0,0,0,0,0,1.97413589650393e-08,1.91172675461259e-06,0,0,0,0,0,4.28912375923077e-07,0,0,0,1.60103714643575e-07,0,1.2493271687725e-07,1.13835471792085e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.47380505190197e-08,0,0,0,0,5.35926593188275e-08,0,8.37504322050086e-07,0,0,0,0,0,0,0,0,0
msp_0462,0,4.50345153529243e-08,6.88063545466329e-07,0,0,0,0,0,0,1.38209463861543e-07,0,0,0,1.03090689153388e-06,6.08052399015916e-08,0,1.32553886465439e-07,0,0,0,0,0,0,0,1.94066618706896e-08,8.09285858255403e-07,0,0,2.67642787636481e-08,0,0,1.88114998794558e-07,7.35366378797575e-09,6.30409809974739e-08,0,0,0,5.58715405273203e-08,6.70686890618321e-08,0,2.33392675066044e-07,0,0,0,0,0,0,1.35167528934033e-06,2.41243132501612e-07,0,0,0,0,0,0,0,0,9.24844606069031e-08,1.27908831807378e-07,0,0,0,3.53040071757342e-08,0,1.83641428697052e-08,7.68015776376317e-07,0,0,4.72684265460002e-08,0,0
msp_0463,0,5.82804039065215e-08,0,0,0,0,0,0,0,8.58794808901898e-07,0,0,0,0,0,0,2.62766666109413e-07,1.47425662213365e-07,0,8.48468833248141e-08,0,0,0,0,2.07643613482608e-06,0,0,0,0,0,0,0,0,2.36990800424816e-06,0,5.01246871229453e-07,0,1.97700300776918e-07,0,3.00404767167e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.90839479892437e-07,0,0,0,0,0,0,0,0,0
msp_0464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.42284700148584e-08,0,0,0,0,0,0,0,0,0,1.29422573008938e-07,3.71676646525537e-09,0,0,0,9.33931253730168e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4701157111946e-07,0,0,4.69635638840079e-07,0,4.05422222173424e-08,0,0,0,3.77062052695789e-08,0,0,0,0,0,0,0
msp_0465,0,0,0,0,0,0,0,0,0,0,0,0,0,8.15582133888688e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.25149139040249e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.03916862701933e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
msp_0466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.51880136187782e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.15441253051914e-07
msp_0467,0,0,5.64852338738257e-08,0,3.80793664923472e-07,0,0,4.01280221356127e-08,0,4.35036298334246e-07,1.49368132595348e-08,0,0,4.71035115141003e-08,0,4.82098674963676e-08,2.99879600779098e-07,5.18844804769202e-07,0,1.02151380041292e-07,2.26369953676232e-07,6.85143979511319e-08,0,0,0,0,0,0,9.72069562612555e-09,0,0,0,2.02665250318062e-07,0,0,6.34018743683373e-08,0,0,0,0,3.42772254115839e-07,0,0,0,0,0,0,2.75128821931577e-07,9.12467917018487e-09,7.59571723393591e-07,5.60800882770663e-08,0,0,2.95256102383398e-08,0,0,1.45945407548157e-08,0,0,0,0,1.70303350304726e-07,1.43902273058338e-07,1.37575089863158e-08,4.86530689259855e-08,5.16765933526685e-07,0,1.52298506665888e-07,1.78329920536869e-08,0,0
msp_0468,3.51529701883495e-07,2.88281337826825e-07,2.91522600407995e-07,0,0,0,2.50692115782487e-07,5.99569268521441e-08,0,2.2461261841919e-07,1.66715692358535e-07,0,3.56852273755733e-07,0,2.41371968039487e-07,2.67806245127531e-06,3.25941904985935e-07,1.89711050684033e-07,3.71578892847474e-08,2.78568346415547e-07,6.9348142766216e-07,1.40525288246919e-07,2.64322717144918e-08,0,7.14916253025274e-07,9.1425163129943e-08,0,5.94283853359681e-07,1.63535732833413e-07,8.15383590434459e-07,0,9.54356087655552e-07,4.2186004001786e-07,6.30391708656224e-08,4.67925222189342e-06,4.88890317132921e-07,0,6.62357487730314e-07,6.17798265108548e-07,0,0,1.29070110006926e-07,0,2.44198517756521e-07,0,1.97099310368443e-07,1.70108371425397e-08,0,1.04378932757567e-07,0,0,6.14029191145566e-08,0,1.01473615248191e-07,4.32546537453078e-07,0,4.10622443918536e-08,4.14171315478069e-07,0,1.75082017464705e-07,0,8.58175742179329e-07,4.557013997957e-07,0,3.92896951044438e-07,1.63694016896922e-07,0,0,7.24699622965864e-07,0,1.28413667944734e-07
msp_0469c,1.50276466710124e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5736847343419e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
msp_0471,0,1.26603119890617e-08,2.04203237005203e-07,0,0,0,3.74129689955774e-08,3.93138110992358e-08,0,0,4.94127985231706e-08,2.34188901126013e-07,0,1.09560487074991e-08,0,3.00527771651013e-08,0,2.63666586834828e-07,2.42286273578204e-08,0,0,5.42786724507204e-07,1.47706822118831e-08,0,0,3.19548626807303e-08,0,0,5.82763692447068e-08,0,0,5.27312989329821e-07,0,1.70298890823894e-08,0,7.87691979304106e-08,0,0,0,1.89493107850134e-08,2.06004616007122e-08,1.81832790531277e-07,1.92259452097256e-07,1.07040673080617e-07,0,7.73178353904652e-08,4.30584504833285e-08,0,3.44602985341504e-08,0,0,0,0,7.76047849772153e-09,7.69296088061066e-08,0,1.95150704216923e-07,0,5.02469907239161e-07,0,0,1.62367413003815e-07,0,4.28910126608583e-08,3.77997974421518e-08,7.21721581262501e-08,5.71821315656818e-07,0,1.15665067647702e-07,1.00999039409627e-07,0
msp_0472,0,3.72112691017989e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.19249108166932e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.30321166169019e-08,0,0,0,0,0,0,0,0,0,0,0,0,2.02112726278853e-08,0,0,0,0,0,0,0,1.48793690576365e-07,0,0,0,0,0,0,0,0,0,0,0,0
msp_0473c,0,7.10210405120832e-08,4.99641013292733e-08,0,0,0,0,0,0,0,0,0,5.45218175177819e-08,0,1.03200036995096e-07,0,0,0,0,0,0,0,0,0,4.92585480960565e-07,2.52075040194384e-07,0,0,0,0,0,0,6.55457658319647e-08,1.20546946448708e-07,0,2.19446168763555e-08,0,7.33712723499142e-08,1.80278861328641e-08,6.74586569924387e-08,0,0,1.62761096749948e-08,0,0,0,0,0,0,0,0,0,0,0,9.64244353485521e-08,0,0,0,0,3.46461112752825e-08,0,2.16064294578922e-08,0,4.25066359481655e-08,8.14923191907876e-08,0,0,0,5.20780989335239e-08,0,2.95057667325835e-08
msp_0474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73118585517607e-06,0,5.70472727099586e-07,0,0,0,0,0,0
msp_0476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.28986782024944e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.40281546060177e-06,0,0,0,0,0,0,8.61950571018036e-07,0,0,0,0,0,0,0,0,0
msp_0477,6.47474145137944e-08,5.40666658651317e-07,1.68705133099006e-06,0,0,0,3.26260589624921e-07,2.07096046056354e-07,0,0,4.838462543644e-06,0,2.29750427383332e-06,2.00800891230473e-08,1.05132763943159e-07,6.28778835107575e-07,0,6.72535741605377e-08,3.88486096596079e-07,0,8.92304485221648e-07,6.57891524429856e-08,2.28189474695815e-06,9.10825676449854e-08,9.66964743311708e-08,1.38355056982206e-08,0,2.36603105777064e-06,1.09645922006867e-06,1.73961888303395e-07,5.96344335214659e-06,4.10682044661434e-07,4.96279455276959e-08,9.44865102301078e-08,2.96314230288187e-07,8.65534836757127e-08,0,4.68601065788832e-07,3.82596272876225e-08,2.83981514679441e-08,8.77943426401904e-09,1.89898375325311e-07,8.64768996158769e-06,3.28433637153036e-07,0,1.02326489308502e-06,2.68000436143148e-06,0,3.66838388385483e-07,0,0,0,0,1.78462153237152e-06,4.82578862127335e-08,0,3.39822376074644e-07,2.2281917690225e-08,9.12767635552616e-08,1.64798818656345e-07,0,9.79896040792359e-08,1.35633102298611e-06,1.62851919666834e-07,3.50789607071215e-07,1.9845879626671e-08,1.59289252216073e-06,0,8.31376109306062e-08,1.85265888311798e-07,1.43278186638574e-06
msp_0478,1.71319609769641e-06,1.13425526403938e-07,6.64500439631386e-07,0,0,6.23925032111069e-07,4.40056584989587e-07,4.87469803585086e-07,0,2.86549877047504e-07,6.30982884213175e-07,2.69367810170705e-07,2.12368165077584e-07,1.10197816202032e-07,5.8171105595576e-08,9.45652874842938e-08,1.06618082472478e-07,6.04359718255777e-07,2.15005806588641e-07,1.79463956998389e-07,4.7800039093584e-07,1.31890247452485e-06,5.34547537021519e-07,5.22314549457343e-08,4.47546723940788e-07,4.90827401801326e-07,0,6.70634782993551e-08,2.46108733686047e-07,1.57277138775803e-08,3.65813522377836e-07,3.25995878319209e-07,1.88323744922709e-06,2.19363863212983e-07,7.53685222421195e-08,1.20448704262262e-07,0,2.42093354826682e-07,1.82293410929446e-08,1.10445387751298e-07,3.85210746256883e-07,2.52934125317338e-06,4.38682622404201e-07,6.56920651147995e-07,9.39757015733724e-08,3.97970646899936e-07,1.01000739926776e-07,8.92267762775478e-07,1.60853052374865e-07,0,0,0,0,1.1687646223819e-07,2.23220542854729e-07,1.7069379341725e-07,5.99820486236953e-07,1.28376637333987e-07,4.27250407955589e-07,2.16155578905076e-07,1.06863290017586e-06,1.76605921571648e-07,5.04830588993774e-07,1.47839996030205e-07,1.17520989173895e-07,8.29629966861166e-07,5.6493085258584e-07,0,2.42301505773363e-07,8.91906375594323e-07,1.45627819501561e-07
msp_0479,1.55632183749166e-08,0,0,0,0,0,0,1.68987126465237e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.55673810522173e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
msp_0480,0,4.42622889032132e-08,0,0,0,0,0,0,0,1.2192726852018e-08,3.0772045194229e-07,0,0,0,1.9642705454161e-07,0,8.94442585111798e-08,2.71931323312794e-07,0,0,0,0,0,0,3.57929241323896e-08,1.28649546896226e-06,0,1.83696259804286e-07,0,2.00479956139269e-07,1.4728926943164e-07,1.46838139015262e-08,1.14864568426963e-08,8.0706859959478e-08,0,1.11357105954581e-08,0,1.79351793922146e-08,1.77851791530037e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.89832016953969e-06,0,0,0,2.66561659731165e-07,9.50239418671419e-07,0,2.51986344287181e-07,0,1.78576549373104e-07,1.5895865148663e-08,2.69384846545405e-08,0,0,0,0,0
msp_0481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01291685681455e-06,0,7.35248445364401e-07,0,0,0,0,0,0,0,0,0,0,0
msp_0482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.91156661441548e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
msp_0484,2.02870876221382e-06,8.73818380174449e-07,1.49075065621979e-06,0,0,0,4.44242404023837e-07,0,0,0,1.42805684652342e-07,0,6.62510554553964e-07,0,5.38197818597888e-07,1.24650769894944e-06,5.60954167534467e-07,2.09510572219287e-07,0,1.62556777974275e-07,0,6.34284622019936e-07,0,0,2.4025850121664e-06,4.12925442551359e-07,0,1.8604385513926e-06,4.82241745560204e-07,1.55627799677463e-07,1.97296488003798e-07,4.45352104555573e-07,0,6.86205767014703e-07,1.09391554261236e-06,2.69025357422417e-07,0,7.37566760494421e-07,5.84347189498682e-08,6.57691771418256e-07,7.33373840665888e-08,4.20211368131018e-08,6.59453466824453e-07,3.47980948196087e-07,0,2.01678147446853e-07,0,0,3.43996520347994e-06,0,0,0,0,7.08433330167999e-08,6.20574809394322e-07,0,2.77567917321195e-08,0,0,3.31529131964885e-07,0,2.54639660459186e-07,4.72245677884972e-07,1.30486943922819e-06,2.79406482272043e-07,2.87510907362704e-06,0,0,2.07942977722581e-06,0,6.47957650839521e-08
msp_0486,1.35632747340342e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03778074092266e-07,0,0,0,0,3.84619829294792e-08,0,2.51088767199975e-09,0,0,0,0,0,0,0,0,0,0,2.91663246622158e-08,0,0,0,0,0,0,0,0,1.27892462216939e-08,0,0,0,0,0,0,0,0,0,0
msp_0487,0,0,2.1659491879712e-08,0,0,0,0,0,0,2.6625176571014e-07,0,0,0,0,0,0,4.18117384040748e-08,0,0,9.4176462212823e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.24868812391364e-08,0,0,0,0,0,0,0,2.13383982486952e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,5.24301536740059e-08,0,0,1.87165672359502e-08,0,0,0,0,0
msp_0488,0,0,0,0,0,0,0,0,0,0,2.39554331821388e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.89772748955601e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
msp_0489,0,2.51331990812224e-08,3.16056047733443e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.07970957486803e-07,0,0,0,0,0,0,8.65440595312192e-09,0,0,0,0,0,2.56176485855682e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.65748452108363e-07,0,0,0,0,6.66585446607912e-09,0,0,0,0,0,0,0,0,0,0,0
msp_0490,0,3.12595884436917e-06,0,0,0,0,1.2762818217016e-07,0,0,0,0,0,0,1.99114327612551e-07,4.28383907986259e-06,0,0,1.12534336454292e-05,0,0,0,0,0,0,7.35756156339173e-08,1.84376852522771e-06,0,0,0,0,3.44550749013822e-06,9.33341207717818e-07,0,4.35652234856023e-06,0,2.10590993265109e-06,0,6.88970783760199e-06,2.78648834814333e-06,4.12666636986258e-06,4.33917368904662e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,4.41529570828704e-06,0,0,0,3.44935300795144e-06,3.94311357501429e-08,0,2.7614409584433e-06,0,0,0,0,0,0,0,0,0
msp_0491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.49791087476608e-08,0,0,0,0,0,0,0,0,0,0,0
msp_0492,1.87229505954529e-08,0,0,0,3.398082765305e-07,0,0,0,0,8.06374091189168e-08,2.54532457947727e-08,0,0,0,0,0,0,0,0,8.85205401417931e-08,0,0,0,0,0,0,0,8.40010609550785e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.56054383013602e-07,0,0,0,0,0,1.15259465774993e-06,0,0,0,0,0,0,0,0,0,2.7149218715518e-08,0,0,0,0,0,0,0,0,0,0,0,0
msp_0493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.15716047563192e-07,0,0,0,1.33275040423988e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.38690589394622e-06,0,0,0,0,0,0,2.40697974592817e-07,0,0,0,0,0,0,0,0,0
msp_0494,0,5.18901127114098e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.79271651220552e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.56981342461753e-07,0,0,0,0,1.20203950465736e-06,0,0,0,0,0,0,0,0,0,0,0
msp_0496,0,1.83591719719315e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.57774706341802e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
msp_0497,0,0,0,0,2.81013997634038e-08,0,0,0,0,1.37767902851874e-06,4.52054628352258e-08,0,0,0,0,0,0,0,3.8825239825095e-08,0,0,0,0,0,0,0,8.75061923122593e-08,1.12120169500813e-08,0,7.63277628202977e-08,2.11896169112589e-07,0,0,2.83981247180465e-07,0,0,0,0,0,1.02784319237607e-07,0,0,0,0,0,0,0,0,0,0,0,3.18441585681439e-08,0,8.75436245082556e-08,0,0,0,0,1.4773449152131e-08,0,0,1.0076896425803e-08,0,0,0,0,0,0,0,0,0
msp_0498,0,2.12465094853336e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13992723452648e-08,0,0,0,0,0,6.78581153636388e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
msp_0499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.00868535827204e-08,0,0,0,0,0,0,0,0,0,0,0
